"x","y","group"
-91.5944,34.568,"1_1_1"
-91.5955,34.4805,"1_1_1"
-91.7052,34.4827,"1_1_1"
-91.7118,34.2339,"1_1_1"
-91.5991,34.2315,"1_1_1"
-91.5927,34.2288,"1_1_1"
-91.5948,34.2122,"1_1_1"
-91.5798,34.2153,"1_1_1"
-91.5826,34.2176,"1_1_1"
-91.5768,34.2234,"1_1_1"
-91.536,34.2226,"1_1_1"
-91.5286,34.2152,"1_1_1"
-91.5307,34.2024,"1_1_1"
-91.524,34.192,"1_1_1"
-91.5277,34.1832,"1_1_1"
-91.5148,34.1719,"1_1_1"
-91.521,34.1636,"1_1_1"
-91.5153,34.1569,"1_1_1"
-91.5154,34.143,"1_1_1"
-91.5075,34.1429,"1_1_1"
-91.4971,34.1501,"1_1_1"
-91.4932,34.1272,"1_1_1"
-91.4763,34.1354,"1_1_1"
-91.4629,34.1356,"1_1_1"
-91.4525,34.1341,"1_1_1"
-91.4507,34.1281,"1_1_1"
-91.4472,34.13,"1_1_1"
-91.4429,34.1258,"1_1_1"
-91.4484,34.1211,"1_1_1"
-91.4382,34.0963,"1_1_1"
-91.4426,34.0881,"1_1_1"
-91.4317,34.0877,"1_1_1"
-91.4461,34.0805,"1_1_1"
-91.4359,34.0684,"1_1_1"
-91.4371,34.0347,"1_1_1"
-91.433,34.022,"1_1_1"
-91.4084,34.0045,"1_1_1"
-91.3942,33.9835,"1_1_1"
-91.3858,33.9803,"1_1_1"
-91.3736,33.9822,"1_1_1"
-91.3526,34.0011,"1_1_1"
-91.3402,34.0052,"1_1_1"
-91.3261,34.0032,"1_1_1"
-91.3169,33.9937,"1_1_1"
-91.3255,33.9795,"1_1_1"
-91.3566,33.9649,"1_1_1"
-91.3518,33.9562,"1_1_1"
-91.3092,33.9601,"1_1_1"
-91.2792,33.9739,"1_1_1"
-91.2713,33.9722,"1_1_1"
-91.2625,33.9573,"1_1_1"
-91.2541,33.9562,"1_1_1"
-91.2386,33.9745,"1_1_1"
-91.2282,33.978,"1_1_1"
-91.2143,33.9724,"1_1_1"
-91.2104,33.9551,"1_1_1"
-91.1973,33.9532,"1_1_1"
-91.1701,33.9587,"1_1_1"
-91.1608,33.9426,"1_1_1"
-91.1514,33.9375,"1_1_1"
-91.1326,33.9564,"1_1_1"
-91.1455,33.973,"1_1_1"
-91.1583,33.9784,"1_1_1"
-91.1565,33.992,"1_1_1"
-91.1652,34.0098,"1_1_1"
-91.1721,34.0159,"1_1_1"
-91.1844,34.0175,"1_1_1"
-91.1846,34.0302,"1_1_1"
-91.1948,34.0345,"1_1_1"
-91.1965,34.0517,"1_1_1"
-91.1878,34.0619,"1_1_1"
-91.1943,34.072,"1_1_1"
-91.1836,34.0726,"1_1_1"
-91.1863,34.0813,"1_1_1"
-91.1683,34.0943,"1_1_1"
-91.1579,34.0859,"1_1_1"
-91.1499,34.0853,"1_1_1"
-91.1508,34.1033,"1_1_1"
-91.1413,34.1017,"1_1_1"
-91.1424,34.1113,"1_1_1"
-91.1236,34.1063,"1_1_1"
-91.1107,34.1313,"1_1_1"
-91.1001,34.1294,"1_1_1"
-91.0957,34.1408,"1_1_1"
-91.0784,34.1442,"1_1_1"
-91.0903,34.1543,"1_1_1"
-91.0833,34.1612,"1_1_1"
-91.0941,34.1758,"1_1_1"
-91.087,34.1809,"1_1_1"
-91.0943,34.1883,"1_1_1"
-91.0875,34.202,"1_1_1"
-91.0785,34.1966,"1_1_1"
-91.0726,34.1979,"1_1_1"
-91.0692,34.2118,"1_1_1"
-91.0606,34.2167,"1_1_1"
-91.0668,34.2252,"1_1_1"
-91.0661,34.2401,"1_1_1"
-91.0791,34.2493,"1_1_1"
-91.0773,34.2524,"1_1_1"
-91.0688,34.2501,"1_1_1"
-91.0625,34.2556,"1_1_1"
-91.0686,34.2603,"1_1_1"
-91.0645,34.2649,"1_1_1"
-91.0752,34.2677,"1_1_1"
-91.0735,34.2781,"1_1_1"
-91.0779,34.2823,"1_1_1"
-91.0697,34.2982,"1_1_1"
-91.0648,34.2956,"1_1_1"
-91.0646,34.2877,"1_1_1"
-91.0585,34.2887,"1_1_1"
-91.0648,34.3114,"1_1_1"
-91.055,34.3094,"1_1_1"
-91.0521,34.3141,"1_1_1"
-91.0643,34.3195,"1_1_1"
-91.0544,34.3223,"1_1_1"
-91.0546,34.3352,"1_1_1"
-91.0688,34.3382,"1_1_1"
-91.0779,34.3482,"1_1_1"
-91.0924,34.3435,"1_1_1"
-91.0962,34.3509,"1_1_1"
-91.1086,34.354,"1_1_1"
-91.1049,34.365,"1_1_1"
-91.1305,34.3807,"1_1_1"
-91.1361,34.4016,"1_1_1"
-91.15,34.4023,"1_1_1"
-91.1659,34.4121,"1_1_1"
-91.1654,34.4183,"1_1_1"
-91.1566,34.4174,"1_1_1"
-91.1532,34.4212,"1_1_1"
-91.1612,34.4352,"1_1_1"
-91.1702,34.4336,"1_1_1"
-91.1754,34.451,"1_1_1"
-91.181,34.4512,"1_1_1"
-91.1909,34.4399,"1_1_1"
-91.2021,34.4454,"1_1_1"
-91.2179,34.4422,"1_1_1"
-91.2203,34.4534,"1_1_1"
-91.2101,34.4507,"1_1_1"
-91.2063,34.455,"1_1_1"
-91.2227,34.4638,"1_1_1"
-91.2092,34.4832,"1_1_1"
-91.2173,34.4872,"1_1_1"
-91.2278,34.4794,"1_1_1"
-91.2404,34.4875,"1_1_1"
-91.2521,34.4877,"1_1_1"
-91.2553,34.4921,"1_1_1"
-91.2515,34.5022,"1_1_1"
-91.2667,34.5051,"1_1_1"
-91.2609,34.5266,"1_1_1"
-91.3002,34.5329,"1_1_1"
-91.2929,34.5459,"1_1_1"
-91.2915,34.5618,"1_1_1"
-91.5944,34.568,"1_1_1"
-92.113,33.2116,"2_1_1"
-92.1177,33.2053,"2_1_1"
-92.1281,33.2091,"2_1_1"
-92.1361,33.1964,"2_1_1"
-92.1385,33.188,"2_1_1"
-92.1311,33.1892,"2_1_1"
-92.1283,33.1832,"2_1_1"
-92.135,33.1838,"2_1_1"
-92.1293,33.1801,"2_1_1"
-92.1375,33.163,"2_1_1"
-92.112,33.159,"2_1_1"
