x,y,group
122656.3,1495564.9,1_1_1
145436.8,1495947.8,1_1_1
170649.1,1496350.4,1_1_1
181111.1,1496539.6,1_1_1
189312.2,1496736.4,1_1_1
204092.3,1497111.4,1_1_1
214375.1,1497340.4,1_1_1
228331.2,1497671.3,1_1_1
238238.4,1497914.9,1_1_1
240179.7,1497964,1_1_1
255038.7,1498354.6,1_1_1
279159.5,1499138.2,1_1_1
280505.4,1499184,1_1_1
286407.7,1499388,1_1_1
304864.7,1500053,1_1_1
307978.2,1500157.8,1_1_1
323842.9,1500710,1_1_1
341575.4,1501449.6,1_1_1
344224.6,1501563.4,1_1_1
356161.6,1502086.1,1_1_1
383950.8,1503399.1,1_1_1
386588.1,1503528.5,1_1_1
403671.1,1504128.4,1_1_1
407473.5,1504266.6,1_1_1
407670.6,1504273.8,1_1_1
432342.9,1505580,1_1_1
441963.8,1506108.9,1_1_1
462675.5,1507266.1,1_1_1
464321.2,1507360.3,1_1_1
481113.1,1508293,1_1_1
488343.9,1508705,1_1_1
512620.2,1509875.3,1_1_1
518548.9,1510171.8,1_1_1
519898.6,1506274.2,1_1_1
521126.6,1501321.6,1_1_1
527083.3,1498460.1,1_1_1
527520.2,1495192.2,1_1_1
527856.6,1489167.3,1_1_1
523591.9,1484699.7,1_1_1
520302.9,1478715.1,1_1_1
517454,1476847.2,1_1_1
514767.3,1475087.3,1_1_1
513726.2,1469942.3,1_1_1
508661,1466660.3,1_1_1
505106.1,1459061.2,1_1_1
502828.2,1453170.7,1_1_1
509937.8,1453674.2,1_1_1
526433.6,1454865.6,1_1_1
539308.9,1455773.1,1_1_1
544494.7,1456144.1,1_1_1
559470.7,1457259.3,1_1_1
563979.7,1451622.3,1_1_1
567266.3,1448895.2,1_1_1
567701.1,1446917.8,1_1_1
567911.8,1445959.7,1_1_1
561341.1,1443143.1,1_1_1
560919.1,1440187.9,1_1_1
561745.8,1435950.4,1_1_1
555361,1432530.9,1_1_1
549640,1428225.7,1_1_1
544970.3,1428746.8,1_1_1
