"county","yield_bu","n_years","year_min","year_max"
"ARKANSAS",58.5,5,2021,2025
"ASHLEY",61.8,5,2021,2025
"BENTON",41.2,1,2021,2025
"CHICOT",57.6,5,2021,2025
"CLARK",48.5,1,2021,2025
"CLAY",53.1,5,2021,2025
"CONWAY",37.3,4,2021,2025
"CRAIGHEAD",51.2,4,2021,2025
"CRAWFORD",35.4,2,2021,2025
"CRITTENDEN",53,5,2021,2025
"CROSS",56.2,5,2021,2025
"DESHA",58.6,5,2021,2025
"DREW",59,4,2021,2025
"FAULKNER",36.7,3,2021,2025
"FRANKLIN",39.4,1,2021,2025
"GREENE",52.6,4,2021,2025
"INDEPENDENCE",44.3,3,2021,2025
"JACKSON",42.6,5,2021,2025
"JEFFERSON",58.5,5,2021,2025
"JOHNSON",28.1,1,2021,2025
"LAFAYETTE",56.1,1,2021,2025
"LAWRENCE",52.8,2,2021,2025
"LEE",56,5,2021,2025
"LINCOLN",57.4,5,2021,2025
"LITTLE RIVER",32.6,2,2021,2025
"LOGAN",35.3,1,2021,2025
"LONOKE",50.2,5,2021,2025
"MISSISSIPPI",57.7,3,2021,2025
"MONROE",47.7,5,2021,2025
"OTHER COUNTIES",45.5,5,2021,2025
"PERRY",39.6,1,2021,2025
"PHILLIPS",58.3,5,2021,2025
"POINSETT",54.4,5,2021,2025
"POPE",43.8,1,2021,2025
"PRAIRIE",54.7,5,2021,2025
"PULASKI",39.1,4,2021,2025
"RANDOLPH",52.2,2,2021,2025
"SAINT FRANCIS",54.9,5,2021,2025
"SEBASTIAN",31.8,1,2021,2025
"WASHINGTON",32,2,2021,2025
"WHITE",41.6,5,2021,2025
"WOODRUFF",46.3,5,2021,2025
"YELL",35.7,5,2021,2025
