cellid,x,y,date,rel_sw_6in,rel_sw_12in,rel_sw_24in,class_6in,class_12in,class_24in,swhc_24in,cumrain_in,x_alb,y_alb,county
1,-90.62873,36.50651,2026-08-01,0.327,0.288,0.22,Dry,Dry,Dry,48.63,15.8,476405.4,1508934.6,NA
132,-90.47146,36.34287,2026-08-01,0.571,0.535,0.469,Adequate,Adequate,Adequate,94.53,15.8,491404.7,1491435.5,CLAY
263,-90.3692,36.20393,2026-08-01,0.585,0.566,0.488,Adequate,Adequate,Adequate,90.85,16.84,501405,1476434.6,GREENE
395,-90.94003,36.07302,2026-08-01,0.562,0.524,0.41,Adequate,Adequate,Adequate,88.16,17.16,451405.4,1458935,LAWRENCE
526,-90.16238,35.97034,2026-08-01,0.581,0.543,0.449,Adequate,Adequate,Adequate,90.03,17.31,521404.9,1451435.4,MISSISSIPPI
658,-90.50395,35.89716,2026-08-01,0.555,0.514,0.437,Adequate,Adequate,Adequate,94.53,16.84,491405.2,1441435.3,CRAIGHEAD
789,-91.06791,35.83247,2026-08-01,0.595,0.553,0.459,Adequate,Adequate,Adequate,92.02,17.16,441404.8,1431435,JACKSON
920,-91.23942,35.7724,2026-08-01,0.264,0.224,0.151,Dry,Dry,Dry,42.56,17.16,426405.1,1423934.8,JACKSON
1052,-90.85242,35.71151,2026-08-01,0.582,0.517,0.407,Adequate,Adequate,Adequate,86.32,18.51,461405.2,1418934.5,CRAIGHEAD
1183,-90.52166,35.65195,2026-08-01,0.606,0.541,0.443,Adequate,Adequate,Adequate,90.03,18.51,491405.3,1413934.9,POINSETT
1315,-91.19497,35.59174,2026-08-01,0.578,0.5,0.371,Adequate,Adequate,Dry,65.26,18.11,431405.4,1403935.2,JACKSON
1446,-90.30756,35.52999,2026-08-01,0.587,0.501,0.33,Adequate,Adequate,Dry,53.92,19.92,511404.8,1401435.1,POINSETT
1577,-90.89672,35.46742,2026-08-01,0.613,0.555,0.45,Adequate,Adequate,Adequate,90.85,18.51,458904.8,1391434.7,POINSETT
1709,-94.17948,35.40716,2026-08-01,0.538,0.468,0.38,Adequate,Adequate,Dry,95.78,18.71,163905.4,1373935.1,CRAWFORD
1840,-91.29353,35.34972,2026-08-01,0.239,0.202,0.127,Dry,Dry,Dry,40.02,18.11,423904.9,1376435.1,WOODRUFF
1972,-90.27047,35.28206,2026-08-01,0.584,0.545,0.452,Adequate,Adequate,Adequate,91.33,19.92,516404.9,1373935.3,CRITTENDEN
2103,-90.63652,35.20979,2026-08-01,0.484,0.427,0.286,Adequate,Adequate,Dry,55.7,19.36,483905.2,1363934.6,CROSS
2234,-90.25285,35.14692,2026-08-01,0.437,0.38,0.249,Adequate,Dry,Dry,48.41,20.59,518905.1,1358935.4,CRITTENDEN
2366,-91.3928,35.08525,2026-08-01,0.559,0.518,0.381,Adequate,Adequate,Dry,70.68,19.39,416405.1,1346435.1,WOODRUFF
2497,-91.31404,35.01502,2026-08-01,0.409,0.349,0.226,Adequate,Dry,Dry,56.78,19.39,423905.1,1338934.5,WOODRUFF
2629,-90.29541,34.94754,2026-08-01,0.487,0.453,0.315,Adequate,Adequate,Dry,57.13,20.59,516405.4,1336435.3,CRITTENDEN
2760,-90.90914,34.86389,2026-08-01,0.539,0.493,0.386,Adequate,Adequate,Dry,90.68,19.36,461405.2,1323934.6,LEE
2891,-90.94107,34.79814,2026-08-01,0.517,0.477,0.377,Adequate,Adequate,Dry,90.68,19.39,458905.4,1316435.3,LEE
3023,-92.04774,34.72888,2026-08-01,0.58,0.547,0.42,Adequate,Adequate,Adequate,93.16,17.59,358905.3,1303934.8,LONOKE
3154,-92.05117,34.66189,2026-08-01,0.538,0.484,0.302,Adequate,Adequate,Dry,50.59,17.59,358905.2,1296435.5,LONOKE
3286,-91.53187,34.59842,2026-08-01,0.495,0.445,0.331,Adequate,Adequate,Dry,77.44,19,406404.8,1291434.8,PRAIRIE
3417,-91.56316,34.53248,2026-08-01,0.499,0.46,0.326,Adequate,Adequate,Dry,76.59,17.59,403905,1283935.2,ARKANSAS
3548,-90.99035,34.4645,2026-08-01,0.569,0.54,0.419,Adequate,Adequate,Adequate,93.21,19,456405.4,1278935.4,PHILLIPS
3680,-91.54346,34.39744,2026-08-01,0.495,0.446,0.331,Adequate,Adequate,Dry,77.44,19,406404.9,1268935.4,ARKANSAS
3811,-90.78029,34.32091,2026-08-01,0.511,0.477,0.3,Adequate,Adequate,Dry,51.71,19.3,476405.5,1263934.6,PHILLIPS
3943,-91.33525,34.21017,2026-08-01,0.494,0.471,0.355,Adequate,Adequate,Dry,76.59,17.48,426404.6,1248935,ARKANSAS
4074,-91.77951,34.09285,2026-08-01,0.504,0.479,0.274,Adequate,Adequate,Dry,46.15,16.41,386405.1,1233935.5,LINCOLN
4205,-91.57027,33.92828,2026-08-01,0.522,0.502,0.289,Adequate,Adequate,Dry,46.15,16.41,406405.4,1216435,LINCOLN
4337,-91.47182,33.74527,2026-08-01,0.631,0.58,0.364,Adequate,Adequate,Dry,49.18,16.86,416404.9,1196435.4,DREW
4468,-91.53886,33.52383,2026-08-01,0.493,0.47,0.286,Adequate,Adequate,Dry,46.15,16.86,411405.3,1171435.2,DREW
4600,-91.3343,33.31398,2026-08-01,0.619,0.602,0.467,Adequate,Adequate,Adequate,91.4,16.86,431405,1148935.2,CHICOT
