station,variable,doy,lo,med,hi,current
"Five Oaks, DeWitt",Biomass_kgha,1,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,2,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,3,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,4,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,5,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,6,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,7,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,8,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,9,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,10,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,11,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,12,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,13,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,14,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,15,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,16,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,17,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,18,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,19,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,20,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,21,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,22,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,23,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,24,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,25,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,26,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,27,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,28,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,29,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,30,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,31,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,32,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,33,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,34,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,35,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,36,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,37,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,38,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,39,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,40,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,41,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,42,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,43,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,44,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,45,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,46,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,47,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,48,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,49,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,50,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,51,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,52,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,53,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,54,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,55,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,56,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,57,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,58,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,59,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,60,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,61,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,62,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,63,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,64,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,65,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,66,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,67,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,68,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,69,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,70,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,71,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,72,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,73,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,74,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,75,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,76,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,77,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,78,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,79,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,80,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,81,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,82,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,83,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,84,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,85,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,86,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,87,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,88,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,89,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,90,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,91,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,92,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,93,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,94,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,95,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,96,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,97,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,98,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,99,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,100,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,101,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,102,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,103,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,104,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,105,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,106,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,107,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,108,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,109,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,110,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,111,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,112,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,113,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,114,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,115,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,116,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,117,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,118,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,119,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,120,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,121,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,122,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,123,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,124,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,125,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,126,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,127,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,128,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,129,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,130,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,131,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,132,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,133,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,134,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,135,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,136,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,137,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,138,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,139,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,140,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,141,0,0,0,0
"Five Oaks, DeWitt",Biomass_kgha,142,0,10,10,10
"Five Oaks, DeWitt",Biomass_kgha,143,10,10,10,10
"Five Oaks, DeWitt",Biomass_kgha,144,10,10,10,10
"Five Oaks, DeWitt",Biomass_kgha,145,10,10,10,10
"Five Oaks, DeWitt",Biomass_kgha,146,10,10,10,10
"Five Oaks, DeWitt",Biomass_kgha,147,10,10,14.838,10
"Five Oaks, DeWitt",Biomass_kgha,148,10,13.257,18.429,12.342
"Five Oaks, DeWitt",Biomass_kgha,149,10,16.212,22.438,15.805
"Five Oaks, DeWitt",Biomass_kgha,150,11.028,19.761,27.667,19.679
"Five Oaks, DeWitt",Biomass_kgha,151,14.757,23.256,33.435,24.931
"Five Oaks, DeWitt",Biomass_kgha,152,19.127,28.148,40.925,30.937
"Five Oaks, DeWitt",Biomass_kgha,153,21.174,33.352,48.934,36.798
"Five Oaks, DeWitt",Biomass_kgha,154,23.707,39.58,57.483,44.565
"Five Oaks, DeWitt",Biomass_kgha,155,27.756,48.16,67.955,52.167
"Five Oaks, DeWitt",Biomass_kgha,156,33.379,58.776,78.147,62.773
"Five Oaks, DeWitt",Biomass_kgha,157,41.118,67.13,92.967,73.696
"Five Oaks, DeWitt",Biomass_kgha,158,47.033,80.003,110.999,83.153
"Five Oaks, DeWitt",Biomass_kgha,159,58.701,95.152,131.167,91.564
"Five Oaks, DeWitt",Biomass_kgha,160,66.967,111.59,150.867,112.089
"Five Oaks, DeWitt",Biomass_kgha,161,78.578,129.263,173.808,132.639
"Five Oaks, DeWitt",Biomass_kgha,162,94.053,150.603,199.238,157.66
"Five Oaks, DeWitt",Biomass_kgha,163,106.545,174.698,235.103,182.707
"Five Oaks, DeWitt",Biomass_kgha,164,120.879,201.548,278.32,216.376
"Five Oaks, DeWitt",Biomass_kgha,165,140.803,235.504,329.227,247.443
"Five Oaks, DeWitt",Biomass_kgha,166,166.501,272.097,386.444,287.411
"Five Oaks, DeWitt",Biomass_kgha,167,195.271,311.388,443.994,343.109
"Five Oaks, DeWitt",Biomass_kgha,168,231.202,363.735,512.006,391.224
"Five Oaks, DeWitt",Biomass_kgha,169,265.576,421.312,593.425,459.925
"Five Oaks, DeWitt",Biomass_kgha,170,315.336,482.526,669.49,494.183
"Five Oaks, DeWitt",Biomass_kgha,171,369.982,553.709,752.349,565.76
"Five Oaks, DeWitt",Biomass_kgha,172,422.282,643.307,834.802,637.872
"Five Oaks, DeWitt",Biomass_kgha,173,475.644,728.951,923.169,718.867
"Five Oaks, DeWitt",Biomass_kgha,174,542.506,829.775,1028.894,798.673
"Five Oaks, DeWitt",Biomass_kgha,175,613.321,927.028,1131.36,903.418
"Five Oaks, DeWitt",Biomass_kgha,176,703.932,1036.219,1241.587,1025.899
"Five Oaks, DeWitt",Biomass_kgha,177,768.985,1136.26,1371.316,1095.512
"Five Oaks, DeWitt",Biomass_kgha,178,870.751,1253.708,1495.457,1219.676
"Five Oaks, DeWitt",Biomass_kgha,179,981.903,1368.496,1636.563,1348.34
"Five Oaks, DeWitt",Biomass_kgha,180,1086.694,1487.903,1773.599,1475.233
"Five Oaks, DeWitt",Biomass_kgha,181,1156.241,1604.093,1911.563,1603.499
"Five Oaks, DeWitt",Biomass_kgha,182,1251.976,1742.322,2049.354,1740.799
"Five Oaks, DeWitt",Biomass_kgha,183,1367.846,1875.132,2173.523,1885.036
"Five Oaks, DeWitt",Biomass_kgha,184,1500.559,1994.912,2320.928,2023.769
"Five Oaks, DeWitt",Biomass_kgha,185,1626.859,2140.812,2475.063,2101.591
"Five Oaks, DeWitt",Biomass_kgha,186,1778.535,2270.99,2627.241,2243.474
"Five Oaks, DeWitt",Biomass_kgha,187,1890.799,2415.397,2782.895,2397.456
"Five Oaks, DeWitt",Biomass_kgha,188,2043.122,2559.466,2942.555,2556.695
"Five Oaks, DeWitt",Biomass_kgha,189,2181.276,2698.836,3076.554,2711.074
"Five Oaks, DeWitt",Biomass_kgha,190,2322.895,2817.332,3230.522,2867.277
"Five Oaks, DeWitt",Biomass_kgha,191,2466.586,2941.051,3388.591,3019.012
